month,mean_shoreline_change,ecan_storm_hours,ecan_max_Hs,ecan_mean_Hs,ecan_mean_dir,model_storm_hours,model_max_Hs,model_mean_Hs,model_mean_dir,erosion_month
2017-06-01,0.6456464788732391,31.0,3.16,2.6248387096774195,121.54193548387097,9.0,8.45591,6.450096666666667,201.32466666666667,False
2017-07-01,-0.7842335766423356,40.0,3.09,2.616,112.5625,9.0,5.3304,4.54295,176.99644444444445,True
2017-08-01,-0.06094786729857848,22.0,2.75,2.5904545454545453,129.4,1.0,4.29092,4.29092,136.595,True
2017-09-01,-0.25918918918918876,30.0,2.72,2.57,114.89333333333335,8.0,4.72911,4.46114,181.660875,True
2017-10-01,1.5240482914430944,19.0,2.72,2.5857894736842106,175.89473684210526,1.0,4.03883,4.03883,203.579,False
2017-11-01,0.3556354515050171,17.0,2.94,2.6311764705882354,174.05882352941177,,,,,False
2017-12-01,0.6989457494407157,15.0,2.75,2.5893333333333337,142.87333333333333,5.0,6.00554,5.309512,202.6442,False
2018-01-01,0.868103762135923,3.0,2.71,2.64,80.7,7.0,5.21604,4.72311,166.35302857142855,False
2018-02-01,-1.1238531215161653,18.0,2.83,2.5905555555555555,202.11666666666667,13.0,5.5215,4.581990769230769,133.0673,True
2018-03-01,0.3574372469635627,51.0,2.84,2.5894117647058823,124.64509803921568,6.0,5.67479,4.605518333333333,189.6215,False
2018-04-01,0.7943708293612962,24.0,2.9,2.5941666666666667,162.3375,22.0,5.09706,4.7201022727272735,169.51395454545454,False
2018-05-01,-0.9662656903765684,51.0,3.01,2.6041176470588234,160.68627450980392,6.0,4.96686,4.603583333333334,197.3661666666667,True
2018-06-01,-2.027893457943925,25.0,2.8,2.5896,166.81599999999997,15.0,4.62693,4.299146666666667,201.1627333333333,True
2018-07-01,-0.46176310741688037,37.0,2.72,2.591351351351351,138.87567567567567,,,,,True
2018-08-01,0.6765531914893615,35.0,2.91,2.5908571428571427,102.67714285714285,,,,,False
2018-09-01,0.7280629978276609,32.0,2.91,2.604375,117.3875,17.0,6.8515,5.159970588235294,201.30741176470588,False
2018-10-01,0.15880924170616142,38.0,2.8,2.616052631578947,188.8342105263158,15.0,4.84268,4.415381999999999,194.89833333333334,False
2018-11-01,1.3289281150159753,22.0,2.77,2.5495454545454543,117.0090909090909,,,,,False
2018-12-01,1.1363222102619297,26.0,2.82,2.601923076923077,84.91538461538462,7.0,5.1006,4.67514,197.9842857142857,False
2019-01-01,0.2065806542583189,17.0,2.81,2.635294117647059,181.24705882352941,3.0,4.13458,4.105153333333333,203.53133333333335,False
2019-02-01,0.11225358045492884,25.0,3.02,2.6475999999999997,143.88,3.0,4.46749,4.285329999999999,207.26500000000001,False
2019-03-01,0.3418247391037442,7.0,2.84,2.62,184.71428571428572,2.0,4.46584,4.33821,49.523250000000004,False
2019-04-01,-0.17197004608294938,1.0,2.62,2.62,234.9,2.0,5.49124,5.119705,205.1915,True
2019-05-01,-0.07148902195608742,28.0,2.89,2.626785714285714,171.45714285714286,20.0,6.43651,5.026722,202.49775,True
2019-06-01,-1.1274087912087911,31.0,3.08,2.597741935483871,172.4322580645161,19.0,6.94119,4.8413626315789475,197.6633157894737,True
2019-07-01,0.21531179458239252,49.0,3.02,2.6257142857142854,111.90612244897959,21.0,6.18492,4.879555714285714,197.32066666666668,False
2019-08-01,-0.9465683796686324,37.0,2.8,2.588108108108108,158.55405405405406,15.0,6.03116,4.8338339999999995,202.33826666666667,True
2019-09-01,-1.5487218971358179,67.0,3.0,2.622835820895522,176.8671641791045,5.0,4.59816,4.4221699999999995,180.6266,True
2019-10-01,0.8700947867298583,27.0,3.08,2.6133333333333333,167.85925925925926,8.0,5.32025,4.51455375,204.268125,False
2019-11-01,0.22798855388051367,10.0,2.75,2.602,80.67,,,,,False
2019-12-01,0.6709541446208117,18.0,2.74,2.5844444444444443,146.35555555555555,6.0,4.38231,4.288728333333333,195.44483333333332,False
2020-01-01,-0.22022720433343349,13.0,2.91,2.626153846153846,114.11538461538461,,,,,True
2020-02-01,-0.08169955442393434,35.0,2.8,2.596857142857143,113.19714285714286,,,,,True
2020-03-01,0.2184476031215161,37.0,2.86,2.5854054054054054,114.45945945945945,,,,,False
2020-04-01,-2.0376522170747844,32.0,2.73,2.5853125,129.646875,,,,,True
