month,whacs_storm_count,whacs_max_peak_Hs,whacs_mean_peak_Hs,whacs_mean_dir,whacs_storm_hours,month_str
2014-02-01,1613467,4.554,1.5327620584594268,131.1793666574729,50358,2014-01-02
2014-03-01,1786339,8.39,1.9798452586206896,147.10699260752688,167455,2014-01-03
2014-04-01,1728715,5.336,1.9999234215681108,131.86364913146136,179802,2014-01-04
2014-05-01,1786339,7.082,1.8655978633667039,159.86252746106783,178651,2014-01-05
2014-06-01,1728715,7.094,1.8431908840777878,132.4291550027658,130546,2014-01-06
2014-07-01,1786344,5.936,2.323792327122729,150.43669459121247,311645,2014-01-07
2014-08-01,1786339,9.232,2.0662117921057663,173.77224226132196,216997,2014-01-08
2014-09-01,1728720,7.096,1.8222588529693486,138.2970004789272,140217,2014-01-09
2014-10-01,1786339,7.092,1.8513388819688659,163.4937099885868,177675,2014-01-10
2014-11-01,1728720,5.076,1.6523885201149424,172.7084096024904,91930,2014-01-11
2014-12-01,1786339,4.908,1.567213088616982,130.54344120782352,74541,2014-01-12
2015-01-01,1786344,4.446,1.42017748424175,126.71750614108268,17635,2015-01-01
2015-02-01,1613467,5.72,1.775303075358009,158.48709088553326,137621,2015-01-02
2015-03-01,1786344,5.97,1.7541831664812755,135.8032145671116,140032,2015-01-03
2015-04-01,1728715,8.882,2.1916103927825237,156.95796658265436,214421,2015-01-04
2015-05-01,1786339,8.422,2.3074056289395624,155.5963313403782,274244,2015-01-05
2015-06-01,1728720,7.79,2.4882035512452108,169.78953603927204,371788,2015-01-06
2015-07-01,1786334,7.54,2.204333485895705,153.59803623259776,260584,2015-01-07
2015-08-01,1786339,5.13,1.9936273314523747,139.85423117254805,207261,2015-01-08
2015-09-01,1728715,6.614,2.1799119899425285,163.97353556034483,231563,2015-01-09
2015-10-01,1786339,8.138,2.063658354527916,189.5260622106867,221109,2015-01-10
2015-11-01,1728715,5.95,1.7740733309386973,155.80444121168583,121252,2015-01-11
2015-12-01,1786339,5.042,1.6499767588987764,150.0339901974416,64974,2015-01-12
2016-01-01,1786344,6.842,1.7151156817760476,141.16379600018539,78657,2016-01-01
