month,mean_shoreline_change,ecan_storm_hours,ecan_max_Hs,ecan_mean_Hs,ecan_mean_dir,model_storm_hours,model_max_Hs,model_mean_Hs,model_mean_dir,erosion_month,storm_type,whacs_max_peak_Hs,whacs_mean_peak_Hs,whacs_mean_dir,whacs_storm_hours,whacs_storm_count
2007-01-12,0.9914406540738656,14.0,2.85,2.5778571428571424,143.22857142857143,,,,,False,1,3.642,1.4837234712381306,129.50382151361185,21430.0,1786339.0
2008-01-01,0.6048439241917505,30.0,2.91,2.6003333333333334,132.66666666666666,1.0,4.22954,4.22954,196.393,False,0,5.862,1.685473683722655,134.7838072395254,79538.0,1786339.0
2008-01-02,-0.2240630228667041,20.0,2.68,2.5615,106.335,9.0,4.62477,4.246865555555555,137.2642111111111,True,0,6.398,1.9525483684376763,135.35352341906597,161353.0,1671091.0
2008-01-03,-0.1627322175732215,18.0,2.82,2.626666666666667,181.5055555555556,,,,,True,1,5.434,1.7084030334631073,151.14356681034482,91254.0,1786339.0
2008-01-04,1.161291959406713,25.0,2.82,2.6180000000000003,150.28,8.0,4.73879,4.31257,178.6532375,False,1,7.41,1.9792280748807165,145.67647028538244,198432.0,1728715.0
2008-01-05,-0.3138132911392404,26.0,2.84,2.589230769230769,90.3153846153846,4.0,4.7302,4.51783,193.1225,True,0,5.658,1.85554402755843,140.42702346012177,134738.0,1786339.0
2008-01-06,-0.6087348242811498,41.0,2.9,2.612926829268293,182.6341463414634,22.0,6.21489,4.613615454545454,181.73769545454545,True,1,7.774,2.119535386262163,168.57127132880026,249232.0,1728715.0
2008-01-07,-1.4316488386308066,37.0,2.79,2.583513513513513,128.2135135135135,34.0,6.6711,5.018633823529412,153.40477647058822,True,0,7.386,2.273498781053022,135.10141963292548,264877.0,1786339.0
2008-01-08,0.5525545424943012,48.0,2.86,2.574375,156.27291666666667,3.0,4.2824,4.1726833333333335,196.70433333333332,False,1,5.434,2.0211620666481274,149.61348674453097,193589.0,1786339.0
2008-01-09,0.6247858617131057,11.0,2.9,2.6281818181818184,136.25454545454545,,,,,False,0,4.906,1.6553074377394636,129.31108488984674,74198.0,1728720.0
2008-01-10,-0.1485180139267329,35.0,2.82,2.6077142857142857,192.43714285714287,,,,,True,1,5.108,1.7405293196143865,176.7448779894327,113684.0,1786339.0
2008-01-11,0.8712890625000005,44.0,2.75,2.587727272727273,154.26590909090908,,,,,False,1,6.724,1.821704184052826,132.4438234184831,142997.0,1728715.0
2008-01-12,1.744342465753424,19.0,2.81,2.574210526315789,95.2,,,,,False,0,4.548,1.5189011471078977,116.5924298989618,51676.0,1786344.0
2009-01-01,0.7861230706742491,31.0,2.9,2.5900000000000003,123.61935483870968,,,,,False,0,4.394,1.5189241448832036,121.7313613505747,36026.0,1786339.0
2009-01-03,-0.433574414715719,18.0,2.8,2.63,143.45,15.0,5.96333,5.007888666666667,200.7806,True,1,6.6,1.9151411962365592,143.52499965239156,184944.0,1786339.0
2009-01-04,-1.3119279493269989,28.0,2.91,2.632142857142857,134.89285714285714,,,,,True,0,4.474,1.8416760225095783,131.92771467911876,142683.0,1728720.0
2009-01-05,-1.2490245928880022,26.0,2.81,2.601153846153846,153.37307692307692,38.0,6.29371,4.819736578947368,189.9028157894737,True,1,7.824,2.4612424198183165,143.98601015016686,331204.0,1786339.0
2009-01-06,-1.9884649122807023,47.0,2.89,2.617021276595745,145.44255319148937,16.0,6.06686,4.75573125,191.304375,True,1,6.052,2.5621770412897584,150.83441890815917,428740.0,1728715.0
2009-01-07,-2.608920874879382,46.0,3.0,2.6165217391304347,140.16739130434783,8.0,6.04651,4.85318875,201.079625,True,1,7.418,1.9986464318985533,153.02456085261798,183802.0,1786339.0
