month,ecan_storm_hours,ecan_max_Hs,ecan_mean_Hs,ecan_mean_dir
2014-09-01,20,3.06,2.6425,153.245
2014-10-01,27,2.74,2.578148148148148,185.3
2014-11-01,11,2.81,2.609090909090909,185.47272727272727
2014-12-01,15,2.73,2.5813333333333333,157.9
2015-01-01,16,2.78,2.5675,69.8
2015-02-01,20,2.79,2.5759999999999996,199.70999999999998
2015-03-01,12,2.83,2.61,117.64166666666667
2015-04-01,23,2.87,2.6256521739130436,104.27826086956522
2015-05-01,38,3.07,2.6115789473684208,177.86315789473684
2015-06-01,32,2.95,2.6121875,174.915625
2015-07-01,23,2.94,2.6247826086956523,123.91304347826087
2015-08-01,54,2.83,2.5855555555555556,149.63518518518518
2015-09-01,28,3.16,2.632142857142857,152.38214285714284
2015-10-01,63,3.05,2.6077777777777778,195.9714285714286
2015-11-01,19,2.88,2.6321052631578947,172.18421052631578
2015-12-01,29,2.88,2.597931034482759,143.59310344827585
2016-01-01,37,2.87,2.596216216216216,160.82702702702704
2016-02-01,4,2.75,2.6425,122.44999999999999
2016-03-01,28,3.21,2.6224999999999996,143.04285714285714
2016-04-01,11,2.69,2.5545454545454547,197.5
2016-05-01,21,2.86,2.5985714285714288,159.93809523809523
2016-06-01,36,2.85,2.594444444444444,187.16944444444445
2016-07-01,59,3.06,2.603728813559322,158.26779661016948
2016-08-01,65,3.03,2.632307692307692,120.60307692307693
2016-09-01,37,3.04,2.603783783783784,161.1216216216216
2016-10-01,13,2.88,2.600769230769231,185.83076923076925
2016-11-01,18,2.76,2.582777777777778,183.07777777777778
2016-12-01,24,2.88,2.6533333333333333,122.2
2017-01-01,24,3.88,2.6629166666666664,147.04583333333332
2017-02-01,28,2.73,2.569642857142857,80.10714285714286
2017-03-01,40,2.82,2.59675,177.64249999999998
2017-04-01,49,3.0,2.603673469387755,139.04897959183674
2017-05-01,22,2.71,2.5945454545454543,181.24545454545455
2017-06-01,31,3.16,2.6248387096774195,121.54193548387097
2017-07-01,40,3.09,2.616,112.5625
2017-08-01,22,2.75,2.5904545454545453,129.4
2017-09-01,30,2.72,2.57,114.89333333333335
2017-10-01,19,2.72,2.5857894736842106,175.89473684210526
2017-11-01,17,2.94,2.6311764705882354,174.05882352941177
2017-12-01,15,2.75,2.5893333333333337,142.87333333333333
2018-01-01,3,2.71,2.64,80.7
2018-02-01,18,2.83,2.5905555555555555,202.11666666666667
2018-03-01,51,2.84,2.5894117647058823,124.64509803921568
2018-04-01,24,2.9,2.5941666666666667,162.3375
2018-05-01,51,3.01,2.6041176470588234,160.68627450980392
2018-06-01,25,2.8,2.5896,166.81599999999997
2018-07-01,37,2.72,2.591351351351351,138.87567567567567
2018-08-01,35,2.91,2.5908571428571427,102.67714285714285
2018-09-01,32,2.91,2.604375,117.3875
2018-10-01,38,2.8,2.616052631578947,188.8342105263158
2018-11-01,22,2.77,2.5495454545454543,117.0090909090909
2018-12-01,26,2.82,2.601923076923077,84.91538461538462
2019-01-01,17,2.81,2.635294117647059,181.24705882352941
2019-02-01,25,3.02,2.6475999999999997,143.88
2019-03-01,7,2.84,2.62,184.71428571428572
2019-04-01,1,2.62,2.62,234.9
2019-05-01,28,2.89,2.626785714285714,171.45714285714286
2019-06-01,31,3.08,2.597741935483871,172.4322580645161
2019-07-01,49,3.02,2.6257142857142854,111.90612244897959
2019-08-01,37,2.8,2.588108108108108,158.55405405405406
2019-09-01,67,3.0,2.622835820895522,176.8671641791045
2019-10-01,27,3.08,2.6133333333333333,167.85925925925926
2019-11-01,10,2.75,2.602,80.67
2019-12-01,18,2.74,2.5844444444444443,146.35555555555555
2020-01-01,13,2.91,2.626153846153846,114.11538461538461
2020-02-01,35,2.8,2.596857142857143,113.19714285714286
2020-03-01,37,2.86,2.5854054054054054,114.45945945945945
2020-04-01,32,2.73,2.5853125,129.646875
2020-05-01,54,2.76,2.559074074074074,133.4111111111111
2020-06-01,75,3.04,2.598,148.32399999999998
2020-07-01,37,2.77,2.598918918918919,131.75135135135136
2020-08-01,50,2.87,2.5946,128.968
2020-09-01,22,2.68,2.561818181818182,194.21363636363637
2020-10-01,24,2.84,2.5825,174.1208333333333
2020-11-01,16,2.8,2.569375,143.71875
2020-12-01,23,2.81,2.6117391304347826,149.8913043478261
2021-01-01,25,2.73,2.5764,166.648
2021-02-01,30,2.85,2.577,129.90333333333334
2021-03-01,51,3.01,2.599411764705882,136.60980392156864
2021-04-01,26,2.81,2.5757692307692306,180.05
2021-05-01,5,2.72,2.586,191.06
2021-06-01,34,2.82,2.5935294117647056,159.955
2021-07-01,22,2.79,2.606818181818182,133.6472727272727
2021-08-01,40,3.07,2.631,147.951
2021-10-01,37,3.33,2.6064864864864865,147.23756756756757
2021-11-01,7,2.74,2.6214285714285714,183.07
2021-12-01,12,2.68,2.584166666666667,160.7525
2022-01-01,21,2.85,2.6142857142857143,174.14333333333335
2022-02-01,16,2.79,2.6075,159.14375
2022-03-01,24,3.13,2.61,153.26375
2022-04-01,37,2.92,2.592972972972973,178.39594594594593
2022-05-01,14,2.83,2.63,179.78785714285715
2022-06-01,1,2.61,2.61,203.9
2022-07-01,39,3.17,2.586153846153846,142.9802564102564
2022-08-01,19,2.74,2.5736842105263156,116.70105263157896
2022-09-01,36,2.86,2.596388888888889,172.54777777777778
2022-10-01,22,2.76,2.6154545454545453,170.2268181818182
2022-11-01,23,2.76,2.5626086956521736,99.49217391304349
2022-12-01,18,2.71,2.5716666666666668,153.52388888888888
2023-01-01,23,2.75,2.595217391304348,126.09521739130435
2023-02-01,6,2.8,2.603333333333333,62.13999999999999
2023-05-01,22,2.94,2.5936363636363637,98.47136363636363
2023-06-01,27,2.76,2.5681481481481483,119.7562962962963
2023-07-01,23,3.07,2.6243478260869564,114.7495652173913
2023-08-01,25,2.96,2.6264,161.624
2023-09-01,28,2.72,2.572142857142857,124.39857142857143
2023-10-01,38,3.44,2.620263157894737,198.66263157894738
2023-11-01,13,3.0,2.61,201.08153846153846
2023-12-01,19,3.12,2.6399999999999997,138.6278947368421
2024-01-01,19,2.79,2.6142105263157895,145.86736842105265
2024-02-01,21,2.82,2.6009523809523807,191.6447619047619
2024-03-01,42,3.52,2.6378571428571425,167.1211904761905
2024-04-01,15,2.76,2.5926666666666667,158.03933333333333
2024-05-01,27,2.69,2.564814814814815,181.23
2024-06-01,36,2.97,2.5880555555555556,126.20555555555555
2024-07-01,27,2.83,2.609259259259259,143.40074074074076
2024-08-01,31,2.97,2.5867741935483872,146.99129032258062
2024-09-01,22,2.78,2.6004545454545456,182.2722727272727
2024-10-01,16,2.76,2.581875,167.500625
2024-11-01,29,3.12,2.633448275862069,156.86620689655172
2024-12-01,27,3.23,2.63037037037037,153.75296296296295
2025-01-01,16,3.63,2.66,168.0325
2025-02-01,19,2.85,2.6021052631578945,82.93315789473684
2025-03-01,14,2.91,2.63,148.06857142857143
2025-04-01,42,2.99,2.6245238095238097,146.2895238095238
2025-05-01,21,3.16,2.623809523809524,157.71571428571428
2025-06-01,38,3.17,2.608421052631579,153.53263157894736
2025-07-01,26,2.82,2.593461538461538,102.2576923076923
2025-08-01,49,2.76,2.5777551020408165,169.8883673469388
2025-09-01,29,3.09,2.605862068965517,178.91896551724136
